label,trials,offset,keys,direction,response_time,statement,response_numeric
Block 2: Binocular_C,36,0.15000000000000002,['right'],right,0.5271167750006498,correct,1
Block 2: Binocular_C,37,0.10000000000000002,['left'],right,0.7114831950002554,false,0
Block 2: Binocular_C,38,0.15000000000000002,['left'],right,0.6786798960001761,false,0
Block 2: Binocular_C,39,0.2,['left'],right,0.4046976729996459,false,0
Block 2: Binocular_C,40,-0.39999999999999997,['right'],left,4.950304973000129,false,0
Block 2: Binocular_C,41,-0.44999999999999996,['right'],left,0.8148612479999429,false,0
Block 2: Binocular_C,42,-0.49999999999999994,['right'],left,0.6375727820004613,false,0
Block 2: Binocular_C,43,0.25,['right'],right,0.42253134600014164,correct,1
Block 2: Binocular_C,44,-0.5499999999999999,['left'],left,0.40689387299971713,correct,1
Block 2: Binocular_C,45,0.25,['right'],right,0.7566554820004967,correct,1
Block 2: Binocular_C,46,0.2,['left'],right,1.3031129190003412,false,0
Block 2: Binocular_C,47,-0.5499999999999999,['left'],left,1.0458274170005097,correct,1
Block 2: Binocular_C,48,-0.49999999999999994,['left'],left,1.1422799709998799,correct,1
Block 2: Binocular_C,49,0.25,['right'],right,0.9831287510005495,correct,1
Block 2: Binocular_C,50,-0.49999999999999994,['left'],left,0.6947047550002026,correct,1
Block 2: Binocular_C,51,-0.44999999999999996,['right'],left,0.9178976800003511,false,0
Block 2: Binocular_C,52,0.25,['right'],right,0.8860215730001073,correct,1
Block 2: Binocular_C,53,-0.49999999999999994,['right'],left,1.0701993530001346,false,0
Block 2: Binocular_C,54,0.2,['right'],right,0.45500241099944105,correct,1
Block 2: Binocular_C,55,0.2,['right'],right,0.43806656499964447,correct,1
Block 2: Binocular_C,56,0.15000000000000002,['right'],right,0.32698353300020244,correct,1
Block 2: Binocular_C,57,0.15000000000000002,['left'],right,0.2281297560002713,false,0
Block 2: Binocular_C,58,0.2,['left'],right,0.3256347160004225,false,0
Block 2: Binocular_C,59,-0.5499999999999999,['left'],left,0.2146280349998051,correct,1
Block 3: Monocular_UC,0,0.2,['right'],right,0.495789276999858,correct,1
Block 3: Monocular_UC,1,0.2,['right'],right,0.3635368330005804,correct,1
Block 3: Monocular_UC,2,-0.2,['left'],left,0.2933373900004881,correct,1
Block 3: Monocular_UC,3,-0.2,['left'],left,0.24548493099973712,correct,1
Block 3: Monocular_UC,4,-0.15000000000000002,['left'],left,0.3409641260004719,correct,1
Block 3: Monocular_UC,5,-0.15000000000000002,['left'],left,0.33138444799988065,correct,1
Block 3: Monocular_UC,6,-0.10000000000000002,['left'],left,0.31759362100001454,correct,1
Block 3: Monocular_UC,7,0.15000000000000002,['right'],right,0.3889999729999545,correct,1
Block 3: Monocular_UC,8,0.15000000000000002,['right'],right,0.28579027599971596,correct,1
Block 3: Monocular_UC,9,-0.10000000000000002,['right'],left,0.24522738500036212,false,0
Block 3: Monocular_UC,10,0.10000000000000002,['right'],right,0.6211795689996507,correct,1
Block 3: Monocular_UC,11,-0.15000000000000002,['left'],left,0.2611599970005045,correct,1
Block 3: Monocular_UC,12,-0.15000000000000002,['left'],left,0.32485317699956795,correct,1
Block 3: Monocular_UC,13,0.10000000000000002,['left'],right,0.2776435659998242,false,0
Block 3: Monocular_UC,14,-0.10000000000000002,['right'],left,0.7003697479995026,false,0
Block 3: Monocular_UC,15,-0.15000000000000002,['left'],left,0.6857049170002938,correct,1
Block 3: Monocular_UC,16,0.15000000000000002,['right'],right,0.40562963299998955,correct,1
Block 3: Monocular_UC,17,0.15000000000000002,['right'],right,0.412173767999775,correct,1
